"x","y","bio_flux_opt","yymm"
-179.5,89.5,0,"201202"
-178.5,89.5,0,"201202"
-177.5,89.5,0,"201202"
-176.5,89.5,0,"201202"
-175.5,89.5,0,"201202"
-174.5,89.5,0,"201202"
-173.5,89.5,0,"201202"
-172.5,89.5,0,"201202"
-171.5,89.5,0,"201202"
-170.5,89.5,0,"201202"
-169.5,89.5,0,"201202"
-168.5,89.5,0,"201202"
-167.5,89.5,0,"201202"
-166.5,89.5,0,"201202"
-165.5,89.5,0,"201202"
-164.5,89.5,0,"201202"
-163.5,89.5,0,"201202"
-162.5,89.5,0,"201202"
-161.5,89.5,0,"201202"
-160.5,89.5,0,"201202"
-159.5,89.5,0,"201202"
-158.5,89.5,0,"201202"
-157.5,89.5,0,"201202"
-156.5,89.5,0,"201202"
-155.5,89.5,0,"201202"
-154.5,89.5,0,"201202"
-153.5,89.5,0,"201202"
-152.5,89.5,0,"201202"
-151.5,89.5,0,"201202"
-150.5,89.5,0,"201202"
-149.5,89.5,0,"201202"
-148.5,89.5,0,"201202"
-147.5,89.5,0,"201202"
-146.5,89.5,0,"201202"
-145.5,89.5,0,"201202"
-144.5,89.5,0,"201202"
-143.5,89.5,0,"201202"
-142.5,89.5,0,"201202"
-141.5,89.5,0,"201202"
-140.5,89.5,0,"201202"
-139.5,89.5,0,"201202"
-138.5,89.5,0,"201202"
-137.5,89.5,0,"201202"
-136.5,89.5,0,"201202"
-135.5,89.5,0,"201202"
-134.5,89.5,0,"201202"
-133.5,89.5,0,"201202"
-132.5,89.5,0,"201202"
-131.5,89.5,0,"201202"
-130.5,89.5,0,"201202"
-129.5,89.5,0,"201202"
-128.5,89.5,0,"201202"
-127.5,89.5,0,"201202"
-126.5,89.5,0,"201202"
-125.5,89.5,0,"201202"
-124.5,89.5,0,"201202"
-123.5,89.5,0,"201202"
-122.5,89.5,0,"201202"
-121.5,89.5,0,"201202"
-120.5,89.5,0,"201202"
-119.5,89.5,0,"201202"
-118.5,89.5,0,"201202"
-117.5,89.5,0,"201202"
-116.5,89.5,0,"201202"
-115.5,89.5,0,"201202"
-114.5,89.5,0,"201202"
-113.5,89.5,0,"201202"
-112.5,89.5,0,"201202"
-111.5,89.5,0,"201202"
-110.5,89.5,0,"201202"
-109.5,89.5,0,"201202"
-108.5,89.5,0,"201202"
-107.5,89.5,0,"201202"
-106.5,89.5,0,"201202"
-105.5,89.5,0,"201202"
-104.5,89.5,0,"201202"
-103.5,89.5,0,"201202"
-102.5,89.5,0,"201202"
-101.5,89.5,0,"201202"
-100.5,89.5,0,"201202"
-99.5,89.5,0,"201202"
-98.5,89.5,0,"201202"
-97.5,89.5,0,"201202"
-96.5,89.5,0,"201202"
-95.5,89.5,0,"201202"
-94.5,89.5,0,"201202"
-93.5,89.5,0,"201202"
-92.5,89.5,0,"201202"
-91.5,89.5,0,"201202"
-90.5,89.5,0,"201202"
-89.5,89.5,0,"201202"
-88.5,89.5,0,"201202"
-87.5,89.5,0,"201202"
-86.5,89.5,0,"201202"
-85.5,89.5,0,"201202"
-84.5,89.5,0,"201202"
-83.5,89.5,0,"201202"
-82.5,89.5,0,"201202"
-81.5,89.5,0,"201202"
-80.5,89.5,0,"201202"
-79.5,89.5,0,"201202"
-78.5,89.5,0,"201202"
-77.5,89.5,0,"201202"
-76.5,89.5,0,"201202"
-75.5,89.5,0,"201202"
-74.5,89.5,0,"201202"
-73.5,89.5,0,"201202"
-72.5,89.5,0,"201202"
-71.5,89.5,0,"201202"
-70.5,89.5,0,"201202"
-69.5,89.5,0,"201202"
-68.5,89.5,0,"201202"
-67.5,89.5,0,"201202"
-66.5,89.5,0,"201202"
-65.5,89.5,0,"201202"
-64.5,89.5,0,"201202"
-63.5,89.5,0,"201202"
-62.5,89.5,0,"201202"
-61.5,89.5,0,"201202"
-60.5,89.5,0,"201202"
-59.5,89.5,0,"201202"
-58.5,89.5,0,"201202"
-57.5,89.5,0,"201202"
-56.5,89.5,0,"201202"
-55.5,89.5,0,"201202"
-54.5,89.5,0,"201202"
-53.5,89.5,0,"201202"
-52.5,89.5,0,"201202"
-51.5,89.5,0,"201202"
-50.5,89.5,0,"201202"
